objectid,title,genresubgenre,additiondate,publicationdate,author,format,callnumber,publisher,filename
coll001,Crook Manifesto,Mystery,11/8/2023,18-Jul-23,Colson Whitehead,Book,MYS Whitehead,Doubleday,https://cmlibrary.bibliocommons.com/v2/record/S106C3355172
coll002,Take the Long Way Home,Romance,11/8/2023,24-Oct-23,Rochelle Alers,Book,ROM Alers,Kensington,https://cmlibrary.bibliocommons.com/v2/record/S106C3383861
coll003,The Other Black Girl,Thriller,11/8/2023,7-Jun-22,Zakiya Dalila Harris,Book,THR Harris,Atria Books,https://cmlibrary.bibliocommons.com/v2/record/S106C2963778
coll004,Black Cake,Contemporary,11/8/2023,29-Nov-22,Charmaine Wilkerson,Book,CON Wilkerson,â€ŽRandom House Publishing Group,https://cmlibrary.bibliocommons.com/v2/record/S106C3089938
coll005,Sister Friends Forever,Contemporary,11/8/2023,13-Jun-23,Kimberla Lawson Roby,Book,CON Roby,Grand Central Publishing,https://cmlibrary.bibliocommons.com/v2/record/S106C3296048
coll006,Let Us Descend,Historical Fiction,11/8/2023,24-Oct-23,Jasmyn Ward,Book,HIS Ward,Scribner,https://cmlibrary.bibliocommons.com/v2/record/S106C3367220
coll007,The Secret Lives of Church Ladies,Contemporary,11/8/2023,1-Sep-20,Deesha Philyaw,Book,CON Philyaw,West Virginia University Press,https://cmlibrary.bibliocommons.com/v2/record/S106C2838409
coll008,Honey & Spice,Romance,11/8/2023,4-Jul-23,Bolu Babalola,Book,ROM Babalola,William Morrow Paperbacks,https://cmlibrary.bibliocommons.com/v2/record/S106C3293426
coll009,Have We Met?,Romance,11/10/2023,1-Jul-21,Camille Baker,Book,ROM Baker,Lake Union Publishing,https://cmlibrary.bibliocommons.com/v2/record/S106C3314818
coll010,Black Candle Women,Science Fiction,11/10/2023,28-Feb-23,Diane Marie Brown,Book,SCI Brown,Graydon House,https://cmlibrary.bibliocommons.com/v2/record/S106C3339350
coll011,The Perfect Find,Romance,11/10/2023,14-Sep-21,Tia Williams,Book,ROM Williams,Grand Central Publishing,https://cmlibrary.bibliocommons.com/v2/record/S106C1923377
coll012,Perfect Peace,Contemporary,11/15/2023,6-Dec-11,Daniel Black,Book,CON Black,St. Martin's Griffin,https://cmlibrary.bibliocommons.com/v2/record/S106C3354464
coll013,When No One Is Watching,Thriller,11/15/2023,1-Sep-20,Allysa Cole,Book,THR Cole,William Morrow Paperbacks,https://cmlibrary.bibliocommons.com/v2/record/S106C2801976
collo14,If Beale Street Could Talk,Romance,11/15/2023,10-Oct-06,James Baldwin,Book,ROM Baldwin,Vintage,https://cmlibrary.bibliocommons.com/v2/record/S106C1086248
collo15,Song of Solomon,Contemporary,11/15/2023,8-Jun-04,Toni Morrison,Book,CON Morrison,Vintage,https://cmlibrary.bibliocommons.com/v2/record/S106C1293627
collo16,Touched,Mystery,11/15/2023,10-Oct-23,Walter Mosley,Book,MYS Mosley,Atlantic Monthly Press,https://cmlibrary.bibliocommons.com/v2/record/S106C3383801
collo17,Kindred,Science Fiction,11/15/2023,1-Jan-03,Octavia Butler,Book,SCI Butler,Beacon Press,https://cmlibrary.bibliocommons.com/v2/record/S106C2059749